w_ang,w_unc,w_vel,lr,bigru_layers,bigru_hidden,att_heads,early_stop_epoch,val_loss,test_loss,timestamp
2.0,0.05,0.05,0.001,2,256,4,54,-0.0181,0.0142,2025-09-26 01:01:52
2.0,0.05,0.05,0.0008,2,256,4,None,-0.0321,-0.0021,2025-09-26 01:02:35
2.0,0.05,0.05,0.0005,2,256,4,51,-0.0198,0.0521,2025-09-26 01:03:03
2.0,0.05,0.1,0.001,2,256,4,69,-0.0319,0.0216,2025-09-26 01:03:40
2.0,0.05,0.1,0.0008,2,256,4,52,-0.0333,0.0179,2025-09-26 01:04:07
2.0,0.05,0.1,0.0005,2,256,4,79,-0.0274,-0.0108,2025-09-26 01:04:50
2.0,0.1,0.0,0.001,2,256,4,35,-0.0620,-0.0039,2025-09-26 01:05:09
2.0,0.1,0.0,0.0008,2,256,4,47,-0.0780,-0.0365,2025-09-26 01:05:36
2.0,0.1,0.0,0.0005,2,256,4,35,-0.0788,-0.0005,2025-09-26 01:05:55
2.0,0.1,0.01,0.001,2,256,4,46,-0.0859,-0.0597,2025-09-26 01:06:19
2.0,0.1,0.01,0.0008,2,256,4,58,-0.1037,0.1530,2025-09-26 01:06:52
2.0,0.1,0.01,0.0005,2,256,4,45,-0.0747,-0.0463,2025-09-26 01:07:18
2.0,0.1,0.05,0.001,2,256,4,37,-0.0451,-0.0267,2025-09-26 01:07:39
2.0,0.1,0.05,0.0008,2,256,4,48,-0.0860,-0.0770,2025-09-26 01:08:06
2.0,0.1,0.05,0.0005,2,256,4,None,-0.1198,-0.0621,2025-09-26 01:08:57
2.0,0.1,0.1,0.001,2,256,4,65,-0.0747,-0.0537,2025-09-26 01:09:35
2.0,0.1,0.1,0.0008,2,256,4,42,-0.0947,-0.0396,2025-09-26 01:09:59
2.0,0.1,0.1,0.0005,2,256,4,57,-0.0873,-0.0644,2025-09-26 01:10:24
2.0,0.2,0.0,0.001,2,256,4,None,-0.2607,-0.0969,2025-09-26 01:10:57
2.0,0.2,0.0,0.0008,2,256,4,38,-0.1929,-0.1517,2025-09-26 01:11:18
2.0,0.2,0.0,0.0005,2,256,4,41,-0.1432,-0.0123,2025-09-26 01:11:39
2.0,0.2,0.01,0.001,2,256,4,53,-0.2191,-0.1384,2025-09-26 01:12:10
2.0,0.2,0.01,0.0008,2,256,4,45,-0.1772,-0.1012,2025-09-26 01:12:36
2.0,0.2,0.01,0.0005,2,256,4,30,-0.1468,-0.1081,2025-09-26 01:12:54
2.0,0.2,0.05,0.001,2,256,4,41,-0.1947,-0.1463,2025-09-26 01:13:20
2.0,0.2,0.05,0.0008,2,256,4,54,-0.1815,-0.1379,2025-09-26 01:13:54
2.0,0.2,0.05,0.0005,2,256,4,51,-0.1990,-0.0563,2025-09-26 01:14:24
2.0,0.2,0.1,0.001,2,256,4,52,-0.1946,-0.0808,2025-09-26 01:14:51
2.0,0.2,0.1,0.0008,2,256,4,37,-0.2129,-0.0796,2025-09-26 01:15:11
2.0,0.2,0.1,0.0005,2,256,4,79,-0.2735,-0.1585,2025-09-26 01:15:53
