tcn_blocks,tcn_dilations,pooling_type,gru_layers,gru_units,aug_status,early_stop_epoch,val_loss,test_loss,timestamp
1,[4],average,3,256,True,23,338.1696,343.2879,2025-09-25 14:37:02
1,[4],max,1,64,False,119,49.2851,49.0666,2025-09-25 14:37:20
1,[4],max,1,64,True,57,140.5257,129.2319,2025-09-25 14:38:47
1,[4],max,1,128,False,110,40.3237,40.0928,2025-09-25 14:39:04
1,[4],max,1,128,True,114,42.4423,41.4328,2025-09-25 14:41:56
1,[4],max,1,256,False,78,46.9373,44.5476,2025-09-25 14:42:08
1,[4],max,1,256,True,None,41.5303,38.6652,2025-09-25 14:45:07
1,[4],max,2,64,False,25,513.7474,506.8979,2025-09-25 14:45:11
1,[4],max,2,64,True,23,338.9548,338.4674,2025-09-25 14:45:46
1,[4],max,2,128,False,23,515.8105,509.4745,2025-09-25 14:45:49
1,[4],max,2,128,True,27,338.8563,340.9661,2025-09-25 14:46:30
1,[4],max,2,256,False,20,513.4490,510.1223,2025-09-25 14:46:33
1,[4],max,2,256,True,19,340.7353,345.6506,2025-09-25 14:47:02
1,[4],max,3,64,False,30,514.3430,508.8720,2025-09-25 14:47:07
1,[4],max,3,64,True,23,342.1331,350.3045,2025-09-25 14:47:42
1,[4],max,3,128,False,18,512.9016,508.1229,2025-09-25 14:47:45
1,[4],max,3,128,True,31,336.3889,342.7205,2025-09-25 14:48:32
1,[4],max,3,256,False,36,513.9809,510.9105,2025-09-25 14:48:39
1,[4],max,3,256,True,23,337.0156,342.4414,2025-09-25 14:49:14
1,[8],none,1,64,False,87,48.7547,57.2398,2025-09-25 14:49:27
1,[8],none,1,64,True,None,36.3384,33.6069,2025-09-25 14:52:30
1,[8],none,1,128,False,96,40.9838,39.3783,2025-09-25 14:52:45
1,[8],none,1,128,True,None,35.3512,33.9369,2025-09-25 14:55:41
1,[8],none,1,256,False,90,46.0294,43.7136,2025-09-25 14:55:57
1,[8],none,1,256,True,110,34.4679,30.9166,2025-09-25 14:58:45
1,[8],none,2,64,False,117,57.8471,50.8492,2025-09-25 14:59:03
1,[8],none,2,64,True,59,156.0060,147.2634,2025-09-25 15:40:58
1,[8],none,2,128,False,18,512.2810,506.5973,2025-09-25 15:41:01
1,[8],none,2,128,True,26,338.1674,345.8390,2025-09-25 15:41:39
1,[8],none,2,256,False,23,513.2483,507.1279,2025-09-25 15:41:44
